elapsed, window, total, successful, failed
10.001589, 10.001589, 1392370, 1392370, 0
20.001964, 10.000375, 1206150, 1206150, 0
30.002323, 10.000359, 590548, 590548, 0
40.001459, 9.999136, 1012236, 1012236, 0
50.001789, 10.00033, 986159, 986159, 0
60.001473, 9.999684, 557988, 557988, 0
70.001613, 10.00014, 1193417, 1193417, 0
80.002049, 10.000436, 591149, 591149, 0
90.003325, 10.001276, 1186859, 1186859, 0
100.001684, 9.998359, 585315, 585315, 0
110.00137, 9.999686, 871217, 871217, 0
120.001753, 10.000383, 1101981, 1101981, 0
130.002138, 10.000385, 598892, 598892, 0
140.001946, 9.999808, 1012112, 1012112, 0
150.00234, 10.000394, 1054327, 1054327, 0
160.002, 9.99966, 551889, 551889, 0
170.002303, 10.000303, 1065970, 1065970, 0
180.001103, 9.9988, 724862, 724862, 0
190.001393, 10.00029, 1441963, 1441963, 0
200.002042, 10.000649, 338216, 338216, 0
210.001737, 9.999695, 1461659, 1461659, 0
220.008425, 10.006688, 399775, 399775, 0
230.001424, 9.992999, 1041141, 1041141, 0
240.001412, 9.999988, 825444, 825444, 0
250.001767, 10.000355, 838500, 838500, 0
260.001666, 9.999899, 840449, 840449, 0
270.00121, 9.999544, 852271, 852271, 0
280.001339, 10.000129, 834206, 834206, 0
290.001468, 10.000129, 847289, 847289, 0
300.001396, 9.999928, 864818, 864818, 0
310.001796, 10.0004, 677540, 677540, 0
320.001595, 9.999799, 845723, 845723, 0
330.001832, 10.000237, 1075693, 1075693, 0
340.001657, 9.999825, 1261439, 1261439, 0
350.001611, 9.999954, 509474, 509474, 0
360.001469, 9.999858, 1131102, 1131102, 0
370.001671, 10.000202, 1042089, 1042089, 0
380.001322, 9.999651, 713090, 713090, 0
390.001692, 10.00037, 1410627, 1410627, 0
400.002291, 10.000599, 406493, 406493, 0
410.002029, 9.999738, 950591, 950591, 0
420.003073, 10.001044, 1363119, 1363119, 0
430.003161, 10.000088, 360417, 360417, 0
440.001818, 9.998657, 1513463, 1513463, 0
450.002501, 10.000683, 398247, 398247, 0
460.001814, 9.999313, 1196891, 1196891, 0
470.002035, 10.000221, 703089, 703089, 0
480.001932, 9.999897, 913928, 913928, 0
490.002201, 10.000269, 534740, 534740, 0
500.002977, 10.000776, 1309652, 1309652, 0
510.00217, 9.999193, 878790, 878790, 0
520.002378, 10.000208, 583957, 583957, 0
530.002019, 9.999641, 1057694, 1057694, 0
540.00171, 9.999691, 1013089, 1013089, 0
550.002268, 10.000558, 998257, 998257, 0
560.003187, 10.000919, 1237305, 1237305, 0
570.002182, 9.998995, 880541, 880541, 0
580.002646, 10.000464, 839387, 839387, 0
590.001844, 9.999198, 834437, 834437, 0
600.002027, 10.000183, 471165, 471165, 0
