elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000765, 10.000765, 1369759, 2, 18.8, 3, 5, 662, 1836, 18630, 0
20.002349, 10.001584, 1149634, 2, 21.8, 3, 5, 741, 2359, 511254, 0
30.000899, 9.99855, 568888, 2, 26.6, 3, 5, 998, 2796, 48084, 0
40.002139, 10.00124, 1026361, 2, 21.7, 3, 5, 766, 2292, 43942, 0
50.000901, 9.998762, 1285864, 2, 22.8, 3, 5, 776, 2403, 781298, 0
60.002078, 10.001177, 482226, 2, 30.2, 3, 4, 1033, 2741, 732789, 0
70.002536, 10.000458, 1260492, 2, 22.9, 3, 4, 787, 2429, 820793, 0
80.002145, 9.999609, 464362, 2, 29.4, 3, 4, 1020, 2786, 918093, 0
90.000943, 9.998798, 911651, 2, 22.4, 3, 5, 784, 2484, 43974, 0
100.002247, 10.001304, 1127305, 2, 22.7, 3, 5, 745, 2426, 486990, 0
110.001724, 9.999477, 630732, 2, 26.6, 3, 5, 890, 2818, 34638, 0
120.001939, 10.000215, 1381296, 2, 21.4, 3, 5, 738, 2276, 816273, 0
130.002543, 10.000604, 531086, 2, 30.1, 3, 5, 1052, 2860, 741887, 0
140.001042, 9.998499, 773578, 2, 23.6, 3, 5, 838, 2568, 43229, 0
150.002736, 10.001694, 1248503, 2, 22.1, 3, 4, 689, 2173, 836395, 0
160.002678, 9.999942, 886350, 2, 25.6, 3, 4, 938, 2614, 567169, 0
170.002452, 9.999774, 598448, 2, 25.3, 3, 4, 947, 2673, 31579, 0
180.001693, 9.999241, 1074639, 2, 20.7, 3, 5, 756, 2101, 35994, 0
190.004267, 10.002574, 1276229, 2, 22.2, 3, 5, 761, 2308, 584404, 0
200.000637, 9.99637, 644003, 2, 28.3, 3, 4, 997, 2715, 761513, 0
210.001857, 10.00122, 809480, 2, 26.8, 3, 5, 913, 2755, 726702, 0
220.002299, 10.000442, 1038481, 2, 24.5, 3, 4, 832, 2550, 883184, 0
230.001306, 9.999007, 570844, 2, 25.6, 3, 4, 929, 2703, 35853, 0
240.001603, 10.000297, 1044371, 2, 21.0, 3, 5, 732, 2205, 46418, 0
250.0026, 10.000997, 1299885, 2, 21.9, 3, 5, 750, 2284, 747406, 0
260.002372, 9.999772, 524841, 2, 29.1, 3, 4, 1025, 2840, 539975, 0
270.001439, 9.999067, 845784, 2, 22.8, 3, 4, 809, 2547, 44307, 0
280.001498, 10.000059, 1018568, 2, 21.3, 3, 4, 735, 2262, 47649, 0
290.001186, 9.999688, 973979, 2, 21.4, 3, 5, 785, 2297, 33638, 0
300.002164, 10.000978, 966687, 2, 21.4, 3, 5, 800, 2159, 37388, 0
310.002441, 10.000277, 1154591, 2, 23.4, 3, 5, 765, 2427, 732984, 0
320.00183, 9.999389, 632572, 2, 25.6, 3, 4, 928, 2641, 38796, 0
330.002338, 10.000508, 1106593, 2, 20.4, 3, 5, 699, 2101, 61123, 0
340.001682, 9.999344, 1248829, 2, 22.1, 3, 5, 776, 2316, 482931, 0
350.002668, 10.000986, 453611, 2, 27.3, 3, 4, 999, 2755, 43965, 0
360.002598, 9.99993, 1105725, 2, 20.8, 3, 5, 709, 2110, 46884, 0
370.00145, 9.998852, 1106406, 2, 23.2, 3, 4, 755, 2357, 649510, 0
380.001466, 10.000016, 700731, 2, 24.3, 3, 4, 867, 2580, 41366, 0
390.001659, 10.000193, 1440630, 2, 21.7, 3, 5, 730, 2191, 859410, 0
400.001825, 10.000166, 333328, 2, 30.9, 3, 4, 1065, 2824, 1070497, 0
410.003798, 10.001973, 1115513, 2, 24.4, 3, 5, 830, 2519, 832275, 0
420.001882, 9.998084, 555064, 2, 27.0, 3, 5, 992, 2705, 34408, 0
430.002572, 10.00069, 1121114, 2, 20.2, 3, 5, 732, 2030, 28694, 0
440.002372, 9.9998, 1272456, 2, 21.9, 3, 5, 761, 2326, 517072, 0
450.002376, 10.000004, 618272, 2, 29.8, 3, 4, 1026, 2801, 908782, 0
460.002101, 9.999725, 1047572, 2, 24.2, 3, 5, 860, 2521, 837621, 0
470.001097, 9.998996, 729621, 2, 27.8, 3, 4, 1012, 2786, 851315, 0
480.001192, 10.000095, 629190, 2, 25.3, 3, 4, 925, 2701, 43818, 0
490.000978, 9.999786, 1046657, 2, 20.8, 3, 5, 723, 2251, 35712, 0
500.002124, 10.001146, 1306847, 2, 22.2, 3, 5, 759, 2260, 646418, 0
510.001794, 9.99967, 572100, 2, 27.8, 3, 4, 1058, 2768, 365419, 0
520.002574, 10.00078, 1070939, 2, 24.2, 3, 5, 841, 2567, 797400, 0
530.001617, 9.999043, 456764, 2, 27.3, 3, 4, 1022, 2781, 39248, 0
540.002587, 10.00097, 1190049, 2, 22.8, 3, 5, 743, 2211, 737245, 0
550.002572, 9.999985, 898141, 2, 26.1, 3, 5, 893, 2755, 658205, 0
560.002381, 9.999809, 686691, 2, 28.7, 3, 4, 980, 2826, 801334, 0
570.001522, 9.999141, 862642, 2, 23.0, 3, 4, 788, 2493, 32852, 0
580.002496, 10.000974, 1383300, 2, 22.1, 3, 5, 732, 2199, 857583, 0
590.001321, 9.998825, 380508, 2, 30.3, 3, 4, 1042, 2753, 1070663, 0
